Geo_Name,Geo_Code,Mid_Year_Ending,Gender,Age,Population_Estimate
Northern Ireland,N92000002,1971,All persons,0,31371
Northern Ireland,N92000002,1971,All persons,1,31389
Northern Ireland,N92000002,1971,All persons,2,31578
Northern Ireland,N92000002,1971,All persons,3,31835
Northern Ireland,N92000002,1971,All persons,4,31605
Northern Ireland,N92000002,1971,All persons,5,32476
Northern Ireland,N92000002,1971,All persons,6,33161
Northern Ireland,N92000002,1971,All persons,7,32509
Northern Ireland,N92000002,1971,All persons,8,31330
Northern Ireland,N92000002,1971,All persons,9,30222
Northern Ireland,N92000002,1971,All persons,10,29219
Northern Ireland,N92000002,1971,All persons,11,28210
Northern Ireland,N92000002,1971,All persons,12,27213
Northern Ireland,N92000002,1971,All persons,13,27323
Northern Ireland,N92000002,1971,All persons,14,27172
Northern Ireland,N92000002,1971,All persons,15,26131
Northern Ireland,N92000002,1971,All persons,16,25297
Northern Ireland,N92000002,1971,All persons,17,25580
Northern Ireland,N92000002,1971,All persons,18,24406
Northern Ireland,N92000002,1971,All persons,19,24386
Northern Ireland,N92000002,1971,All persons,20,25510
Northern Ireland,N92000002,1971,All persons,21,25092
Northern Ireland,N92000002,1971,All persons,22,24351
Northern Ireland,N92000002,1971,All persons,23,23390
Northern Ireland,N92000002,1971,All persons,24,22578
Northern Ireland,N92000002,1971,All persons,25,21002
Northern Ireland,N92000002,1971,All persons,26,20602
Northern Ireland,N92000002,1971,All persons,27,20764
Northern Ireland,N92000002,1971,All persons,28,20560
Northern Ireland,N92000002,1971,All persons,29,18572
Northern Ireland,N92000002,1971,All persons,30,17689
Northern Ireland,N92000002,1971,All persons,31,17726
Northern Ireland,N92000002,1971,All persons,32,17779
Northern Ireland,N92000002,1971,All persons,33,17224
Northern Ireland,N92000002,1971,All persons,34,17350
Northern Ireland,N92000002,1971,All persons,35,16993
Northern Ireland,N92000002,1971,All persons,36,16355
Northern Ireland,N92000002,1971,All persons,37,16136
Northern Ireland,N92000002,1971,All persons,38,16289
Northern Ireland,N92000002,1971,All persons,39,16164
Northern Ireland,N92000002,1971,All persons,40,16560
Northern Ireland,N92000002,1971,All persons,41,16524
Northern Ireland,N92000002,1971,All persons,42,16349
Northern Ireland,N92000002,1971,All persons,43,16288
Northern Ireland,N92000002,1971,All persons,44,16938
Northern Ireland,N92000002,1971,All persons,45,16668
Northern Ireland,N92000002,1971,All persons,46,16351
Northern Ireland,N92000002,1971,All persons,47,16722
Northern Ireland,N92000002,1971,All persons,48,16923
Northern Ireland,N92000002,1971,All persons,49,17432
Northern Ireland,N92000002,1971,All persons,50,17791
Northern Ireland,N92000002,1971,All persons,51,17694
Northern Ireland,N92000002,1971,All persons,52,16139
Northern Ireland,N92000002,1971,All persons,53,14567
Northern Ireland,N92000002,1971,All persons,54,14645
Northern Ireland,N92000002,1971,All persons,55,15100
Northern Ireland,N92000002,1971,All persons,56,15878
Northern Ireland,N92000002,1971,All persons,57,15718
Northern Ireland,N92000002,1971,All persons,58,15714
Northern Ireland,N92000002,1971,All persons,59,15297
Northern Ireland,N92000002,1971,All persons,60,15851
Northern Ireland,N92000002,1971,All persons,61,15324
Northern Ireland,N92000002,1971,All persons,62,14949
Northern Ireland,N92000002,1971,All persons,63,14372
Northern Ireland,N92000002,1971,All persons,64,14002
Northern Ireland,N92000002,1971,All persons,65,13012
Northern Ireland,N92000002,1971,All persons,66,12452
Northern Ireland,N92000002,1971,All persons,67,11865
Northern Ireland,N92000002,1971,All persons,68,11302
Northern Ireland,N92000002,1971,All persons,69,10648
Northern Ireland,N92000002,1971,All persons,70,10534
Northern Ireland,N92000002,1971,All persons,71,10157
Northern Ireland,N92000002,1971,All persons,72,9366
Northern Ireland,N92000002,1971,All persons,73,8662
Northern Ireland,N92000002,1971,All persons,74,8253
Northern Ireland,N92000002,1971,All persons,75,7922
Northern Ireland,N92000002,1971,All persons,76,7164
Northern Ireland,N92000002,1971,All persons,77,6399
Northern Ireland,N92000002,1971,All persons,78,5798
Northern Ireland,N92000002,1971,All persons,79,5047
Northern Ireland,N92000002,1971,All persons,80,4528
Northern Ireland,N92000002,1971,All persons,81,4083
Northern Ireland,N92000002,1971,All persons,82,4151
Northern Ireland,N92000002,1971,All persons,83,3091
Northern Ireland,N92000002,1971,All persons,84,2627
Northern Ireland,N92000002,1971,All persons,85,1985
Northern Ireland,N92000002,1971,All persons,86,1711
Northern Ireland,N92000002,1971,All persons,87,1228
Northern Ireland,N92000002,1971,All persons,88,1018
Northern Ireland,N92000002,1971,All persons,89,811
Northern Ireland,N92000002,1971,All persons,90,2264
Northern Ireland,N92000002,1971,Females,0,15485
Northern Ireland,N92000002,1971,Females,1,15432
Northern Ireland,N92000002,1971,Females,2,15540
